batch,id,title,decision,category
1,26580307,Efficacy of Bright Light Treatment Fluoxetine and the Combination in Patients With Nonseasonal Major Depressive Disorder,MAP,depression
1,27049826,Hydromorphone Compared With Diacetylmorphine for Long-term Opioid Dependence,MAP,substance_use
1,28199710,Cognitive Behavioral Insomnia Therapy for Those With Insomnia and Depression,UNCERTAIN,depression
1,28483500,Probiotic Bifidobacterium longum NCC3001 Reduces Depression Scores and Alters Brain Activity,UNCERTAIN,depression
1,30654643,Olanzapine Versus Placebo in Adult Outpatients With Anorexia Nervosa,MAP,eating_disorder
1,30922101,Single repeated and maintenance ketamine infusions for treatment-resistant depression,MAP,depression
1,31066887,Efficacy of Adjunctive Infliximab vs Placebo in the Treatment of Adults With Bipolar I/II Depression,MAP,bipolar_mood
1,31109201,Efficacy and Safety of Flexibly Dosed Esketamine Nasal Spray Combined With a Newly Initiated Oral Antidepressant in Treatment-Resistant Depression,UNCERTAIN,depression
1,31166571,Efficacy of Esketamine Nasal Spray Plus Oral Antidepressant Treatment for Relapse Prevention in Patients With Treatment-Resistant Depression,UNCERTAIN,depression
1,31290965,Efficacy and Safety of Fixed-Dose Esketamine Nasal Spray Combined With a New Oral Antidepressant in Treatment-Resistant Depression (TRANSFORM-1),UNCERTAIN,depression
1,31764959,Efficacy and Safety of Lanabecestat for Treatment of Early and Mild Alzheimer Disease (AMARANTH and DAYBREAK-ALZ),UNCERTAIN,dementia
1,33972795,MDMA-assisted therapy for severe PTSD: a randomized double-blind placebo-controlled phase 3 study,UNCERTAIN,anxiety_trauma_ocd
1,34155411,A trial of gantenerumab or solanezumab in dominantly inherited Alzheimer's disease,UNCERTAIN,dementia
1,35542991,Two Randomized Phase 3 Studies of Aducanumab in Early Alzheimer's Disease,UNCERTAIN,dementia
1,37095250,Tau-targeting antisense oligonucleotide MAPTRx in mild Alzheimer's disease,UNCERTAIN,dementia
1,37966285,Two Phase 3 Trials of Gantenerumab in Early Alzheimer's Disease,UNCERTAIN,dementia
2,27721184,Liraglutide promotes improvements in objective measures of cognitive dysfunction in individuals with mood disorders.,UNCERTAIN,bipolar_mood
2,28381506,A phase 3 trial of IV immunoglobulin for Alzheimer disease,UNCERTAIN,dementia
2,31182351,Randomized Placebo-Controlled Trial of Nabilone for Agitation in Alzheimer's Disease.,MAP,dementia
2,32101271,Effects of Antipsychotic Medication on Brain Structure in Patients With Major Depressive Disorder and Psychotic Features,UNCERTAIN,depression
2,33103819,A ketogenic drink improves cognition in mild cognitive impairment: Results of a 6-month RCT.,UNCERTAIN,dementia
3,27556593,Metformin for Treatment of Overweight Induced by Atypical Antipsychotic Medication in Young People With Autism Spectrum Disorder: A Randomized Clinical Trial.,MAP,other_mental_health
3,27780334,Efficacy of Vortioxetine on Cognitive Functioning in Working Patients With Major Depressive Disorder.,UNCERTAIN,depression
