id,title,final_decision,category,vote_count,conflict_flag,reconciliation_notes
38451197,Sertraline versus venlafaxine combined with psychotherapy in trauma-affected refugees - a follow-up study on a pragmatic randomised trial.,OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
38435873,Effect of Integrated Yoga as an Adjuvant to Standard Care for Panic Disorder: A Randomized Control Trial Study.,OUT_OF_SCOPE,non-Canadian; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
38430820,"Efficacy and safety evaluation of Ginkgo biloba dropping pill (GBDP) on stable angina pectoris complicated with depression: A placebo-controlled, randomized, double-blind, multicenter study.",OUT_OF_SCOPE,non-Canadian; not MH primary,OUT_OF_SCOPE:2,none,both screeners agree
38428936,Impact of Sling Use on Functional Mobility in a Geriatric Population.,OUT_OF_SCOPE,not MH,OUT_OF_SCOPE:2,none,both screeners agree
38425206,"Baseline symptom severity and efficacy of Silexan in patients with anxiety disorders: A symptom-based, patient-level analysis of randomized, placebo-controlled trials.",OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
38420046,Effect of Vortioxetine in Comparison to Fluoxetine on Metabolic Parameters in Patients With Depressive Disorder: A Randomized Controlled Trial.,OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
38412543,"Walking and Social Reminiscence in Gentrifying Neighborhoods: Feasibility and Impact on Cognitive, Physical, and Mental Health Among Older Black Adults in the SHARP Study.",OUT_OF_SCOPE,non-Canadian; non-pharma; not RCT,OUT_OF_SCOPE:2,none,both screeners agree
38411577,High-Definition Transcranial Direct Current Stimulation-Primed Intermittent Theta Burst Stimulation in Treatment-Resistant Depression: A Controlled Study.,OUT_OF_SCOPE,non-Canadian; non-pharma,OUT_OF_SCOPE:2,none,both screeners agree
38408937,"Efficacy of empagliflozin as adjunctive therapy to citalopram in major depressive disorder: a randomized double-blind, placebo-controlled clinical trial.",OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
38401806,Mediating effect of inflammation on the relationship between sleep disruption and suicidal ideation in major depressive disorder.,OUT_OF_SCOPE,observational,OUT_OF_SCOPE:2,none,both screeners agree
38401072,Clinical Efficacy of Ultrasound-Guided Acupuncture in the Treatment of Chronic Subjective Dizziness.,OUT_OF_SCOPE,non-Canadian; non-pharma; not MH,OUT_OF_SCOPE:2,none,both screeners agree
38393913,Vaccines and Dementia: Part II. Efficacy of BCG and Other Vaccines Against Dementia.,OUT_OF_SCOPE,review,OUT_OF_SCOPE:2,none,both screeners agree
38385994,Associations of MSK1 Methylation and Executive Function With Suicidal Ideation in Adolescents With Major Depressive Disorder: A Prospective Cohort Study.,OUT_OF_SCOPE,observational,OUT_OF_SCOPE:2,none,both screeners agree
38370556,Electroacupuncture versus Escitalopram for mild to moderate Post-Stroke Depression: A randomized non-inferiority trial.,OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE:2,none,both screeners agree
