id,title,decision,category,confidence,notes
27418378,"Efficacy of Quetiapine Monotherapy in Posttraumatic Stress Disorder: A Randomized, Placebo-Controlled Trial.",EXCLUDE,not_canadian,high,RCT of quetiapine for PTSD; no Canadian site identified
29589873,Cost-effectiveness of hydromorphone for severe opioid use disorder: findings from the SALOME randomized clinical trial.,EXCLUDE,secondary_analysis,high,"Cost-effectiveness analysis of SALOME RCT; Vancouver, Canada; secondary analysis not primary RCT"
36767702,Effects of Transcranial Pulse Stimulation (TPS) on Adults with Symptoms of Depression-A Pilot Randomized Controlled Trial.,EXCLUDE,not_canadian,high,TPS for depression pilot RCT; no Canadian site
36370991,A pilot controlled trial of a combination of electroacupuncture and psychological intervention for post-stroke depression.,EXCLUDE,not_canadian,high,Electroacupuncture for post-stroke depression; China
36129711,Effectiveness of Acupuncture for Anxiety Among Patients With Parkinson Disease: A Randomized Clinical Trial.,EXCLUDE,not_canadian,high,Acupuncture for PD anxiety RCT; not Canadian
34122226,Acupuncture Combined With Emotional Therapy of Chinese Medicine Treatment for Improving Depressive Symptoms in Elderly Patients With Alcohol Dependence During the COVID-19 Epidemic.,EXCLUDE,not_canadian,high,Acupuncture + Chinese medicine for depression; China
32912944,"Comparative effectiveness of buprenorphine-naloxone versus methadone for treatment of opioid use disorder: a population-based observational study protocol in British Columbia, Canada.",EXCLUDE,not_rct,high,Observational study protocol for OAT; British Columbia but not RCT
36386776,tDCS over the left prefrontal Cortex improves mental flexibility and inhibition in geriatric inpatients with symptoms of depression or anxiety: A pilot randomized controlled trial.,EXCLUDE,not_canadian,high,tDCS for geriatric depression/anxiety; not Canadian
35078951,"Effect of Self-administered Transcranial Direct Stimulation in Patients with Major Depressive Disorder: A Randomized, Single-blinded Clinical Trial.",EXCLUDE,not_canadian,high,Self-administered tDCS for MDD; South Korea
33345933,Preventing maternal mental health disorders in the context of poverty: pilot efficacy of a dyadic intervention.,EXCLUDE,not_canadian,high,Dyadic intervention for perinatal depression prevention; US
