id,title,decision,category,notes
rank_2251,Effects of Mindfulness-Based Cognitive Therapy in Pregnancy on Psychological Distress and Gestational Age: Outcomes of a Randomized Controlled Trial,OUT_OF_SCOPE,non-pharmacotherapy intervention,
rank_2252,"Ubisol‐q10, a nanomicellar and water‐dispersible formulation of coenzyme‐q10 as a potential treatment for alzheimer’s and parkinson’s disease",OUT_OF_SCOPE,animal study,
35786651,Psychosis as a Treatment Target in Dementia: A Roadmap for Designing Interventions,OUT_OF_SCOPE,non-pharmacotherapy,
34520280,"Generalized Anxiety Disorder 7-Item (GAD-7) Scores in Medically Authorized Cannabis Patients—Ontario and Alberta, Canada",OUT_OF_SCOPE,observational,GAD-7 in medical cannabis patients; observational
35650179,Initial findings on RESTORE for healthcare workers: an internet-delivered intervention for COVID-19-related mental health symptoms,OUT_OF_SCOPE,non-pharma,RESTORE internet intervention
37349110,"Phase 2 Results Indicate Evenamide, A Selective Modulator of Glutamate Release, Is Associated With Clinically Important Long-Term Efficacy When Added to an Antipsychotic in Patients With Treatment-Resistant Schizophrenia",OUT_OF_SCOPE,non-Canadian,Evenamide for schizophrenia
37357328,"Impact of Exercise and Cognitive Stimulation Therapy on Physical Function, Cognition and Muscle Mass in Pre-Frail Older Adults in the Primary Care Setting: A Cluster Randomized Controlled Trial",OUT_OF_SCOPE,non-pharmacotherapy intervention,
37010841,Evaluation of Plasma Phosphorylated Tau217 for Differentiation between Alzheimer Disease and Frontotemporal Lobar Degeneration Subtypes among Patients with Corticobasal Syndrome,OUT_OF_SCOPE,no MH focus,
rank_2259,Extracting Mental Health Indicators From English and Spanish Social Media: A Machine Learning Approach,OUT_OF_SCOPE,non-pharmacotherapy,
37098084,Relationship between postoperative biomarkers of neuronal injury and postoperative cognitive dysfunction: A metaanalysis,OUT_OF_SCOPE,non-pharmacotherapy,
38736218,A Review of the Current Status of Disease-Modifying Therapies and Prevention of Alzheimer’s Disease,OUT_OF_SCOPE,review/meta-analysis,
40065171,Allogeneic mesenchymal stem cell therapy with laromestrocel in mild Alzheimer's disease: a randomized controlled phase 2a trial.,OUT_OF_SCOPE,no MH focus,
38954874,Safety and tolerability of esketamine nasal spray versus quetiapine extended release in patients with treatment resistant depression.,OUT_OF_SCOPE,non-Canadian,
38555403,Precision nutrition to reset virus-induced human metabolic reprogramming and dysregulation (HMRD) in long-COVID.,OUT_OF_SCOPE,non-pharmacotherapy,
38528257,Early and Sustained Improvements in Symptoms and Quality of Life with Upadacitinib in Adults and Adolescents with Moderate-to-Severe Atopic Dermatitis: 52-Week Results from Two Phase III Randomized Clinical Trials (Measure Up 1 and Measure Up 2).,OUT_OF_SCOPE,non-Canadian,
38356475,The HOPE4MCI study: A randomized double-blind assessment of AGB101 for the treatment of MCI due to AD.,OUT_OF_SCOPE,no MH focus,
38274292,Effects of a periodic intermittent theta burst stimulation in Alzheimer's disease.,OUT_OF_SCOPE,no MH focus,
37748784,Preventive care recommendations to promote health equity.,OUT_OF_SCOPE,non-original research,Preventive care recommendations
37343515,Clinical trials in vascular cognitive impairment following SPRINT-MIND: An international perspective.,OUT_OF_SCOPE,non-original research,
37165863,"Parent, child, and family outcomes following Acceptance And Commitment Therapy for parents of autistic children: A randomized controlled trial.",OUT_OF_SCOPE,non-pharmacotherapy intervention,
