id,title,decision,category,confidence,notes
38451197,Sertraline versus venlafaxine combined with psychotherapy in trauma-affected refugees - a follow-up study on a pragmatic randomised trial.,OUT_OF_SCOPE,non-Canadian,0.9,Nordic journal; authors based in Denmark. Follow-up of RCT but not Canadian site/PI.
38435873,Effect of Integrated Yoga as an Adjuvant to Standard Care for Panic Disorder: A Randomized Control Trial Study.,OUT_OF_SCOPE,non-Canadian; non-pharma,0.95,India-based RCT; yoga intervention (non-pharma); not Canadian.
38430820,"Efficacy and safety evaluation of Ginkgo biloba dropping pill (GBDP) on stable angina pectoris complicated with depression: A placebo-controlled, randomized, double-blind, multicenter study.",OUT_OF_SCOPE,non-Canadian; not MH primary,0.95,Chinese study; primary condition is angina not diagnosed MH disorder; herbal medicine.
38428936,Impact of Sling Use on Functional Mobility in a Geriatric Population.,OUT_OF_SCOPE,not MH,0.99,Orthopedic study on sling immobilization; no mental health focus.
38425206,"Baseline symptom severity and efficacy of Silexan in patients with anxiety disorders: A symptom-based, patient-level analysis of randomized, placebo-controlled trials.",OUT_OF_SCOPE,non-Canadian,0.95,European pooled analysis of Silexan trials; not Canadian.
38420046,Effect of Vortioxetine in Comparison to Fluoxetine on Metabolic Parameters in Patients With Depressive Disorder: A Randomized Controlled Trial.,OUT_OF_SCOPE,non-Canadian,0.95,India-based RCT (CTRI registered); not Canadian.
38412543,"Walking and Social Reminiscence in Gentrifying Neighborhoods: Feasibility and Impact on Cognitive, Physical, and Mental Health Among Older Black Adults in the SHARP Study.",OUT_OF_SCOPE,non-Canadian; non-pharma; not RCT,0.95,US pilot feasibility study; non-pharmacological; no diagnosed MH disorder.
38411577,High-Definition Transcranial Direct Current Stimulation-Primed Intermittent Theta Burst Stimulation in Treatment-Resistant Depression: A Controlled Study.,OUT_OF_SCOPE,non-Canadian; non-pharma,0.95,India-based; neuromodulation (non-pharma); not Canadian.
38408937,"Efficacy of empagliflozin as adjunctive therapy to citalopram in major depressive disorder: a randomized double-blind, placebo-controlled clinical trial.",OUT_OF_SCOPE,non-Canadian,0.95,Iran-based RCT; not Canadian.
38401806,Mediating effect of inflammation on the relationship between sleep disruption and suicidal ideation in major depressive disorder.,OUT_OF_SCOPE,observational,0.95,Cross-sectional design; not interventional RCT.
38401072,Clinical Efficacy of Ultrasound-Guided Acupuncture in the Treatment of Chronic Subjective Dizziness.,OUT_OF_SCOPE,non-Canadian; non-pharma; not MH,0.95,China; acupuncture for dizziness; not MH pharmacotherapy.
