record_number,pmid,doi,title,authors,journal,year,abstract,reviewer_1_decision,reviewer_1_reasoning,reviewer_2_decision,reviewer_2_reasoning,final_decision,arbiter_needed,arbiter_notes
1,30135032,10.1016/j.euroneuro.2018.05.006,12-week double-blind randomized multicenter study of efficacy and safety of agomelatine (25-50 mg/day) versus escitalopram (10-20 mg/day) in out-patients with severe generalized anxiety disorder.,Stein D.J.; Khoo J.P.; Ahokas A.; Jarema M.; Van Ameringen M.; Vavrusova L.; Hӧschl C.; Bauer M.; Bitter I.; Mosolov S.N.; Olivier V.; Matharan S.; Picarel-Blanchot F.; de Bodinat C.,European Neuropsychopharmacology,2018,"Treatment of severely symptomatic patients with generalized anxiety disorder (GAD) raises particular concerns for clinicians. This 12-week double-blind study evaluated the efficacy of agomelatine (25-50 mg/day) in the treatment of patients with severe GAD, using escitalopram (10-20 mg) as active comparator. The primary outcome measure was the change from baseline of the total score on the Hamilton Anxiety scale (HAM-A) at week 12. Secondary outcome measures included rate of response to treatment",MAP,anxiety_trauma_ocd; RCT; GAD (DSM-5); pharma (agomelatine vs escitalopram); Canadian site confirmed; main results 2018,MAP,anxiety; RCT of agomelatine vs escitalopram for severe GAD (DSM-5 diagnosis); multicenter international including Canadian site (Van Ameringen is Canadian); pharma for MH; results 2018,INCLUDE,Resolved,Full-text screening: Confirmed: RCT agomelatine vs escitalopram for GAD; Canadian PI Van Ameringen (McMaster); primary results 2018
2,41779422,10.1001/jama.2026.1327,A Decision-Support System to Personalize Antidepressant Treatment in Major Depressive Disorder: A Randomized Clinical Trial.,Cipriani Andrea; Fernandes Karen Barros Parron; Mulsant Benoit H; Efthimiou Orestis; Williams Nicola; Mort Sam; Elgarf Rania; Liu Qiang; Haque Nyla; Potts Jennifer; Ede Roger; Fox Robin; Liboni Marcos; Nesi Cavicchioli Diego A; Simon Judit; Smith Katharine A; Zangani Caroline; Li Zhenpeng; Taylor Ursula; Husain M Ishrat; Cipriani Maddalena; Carpaneze Dalaqua Paulo V; Leite Eduardo Fernandes; Aliano Gâmbaro Gustavo; Nabhan Silveira Diogo; Manfredin Vila Luísa; Liboni Cavicchioli Fernanda; Furukawa Toshi A; Naci Huseyin; Ostinelli Edoardo G,JAMA,2026,"IMPORTANCE: Antidepressants for moderate to severe major depressive disorder may be discontinued prematurely because the prescribed antidepressant is not always the most appropriate medication for an individual. Guidelines have recommended more precise targeting of antidepressant treatment. OBJECTIVE: To evaluate the efficacy of a web-based tool to personalize antidepressant treatment. DESIGN, SETTING, AND PARTICIPANTS: This multicenter, randomized clinical trial included persons between the age",MAP,pharma_rct_canadian; Multicenter RCT; MDD (diagnosed MH); pharmacological (antidepressant personalization tool PETRUSHKA); Canada is one of 3 countries; 2022-2025; Mulsant BH (Canadian PI),MAP,MAP; Multicenter RCT of decision-support tool to personalize antidepressant treatment in MDD; Canadian site (Canada listed as one of 3 countries); Mulsant BH (Canadian PI); diagnosed MDD; pharmacological (antidepressant prescribing); published 2026,INCLUDE,Resolved,single reviewer only; QA-audited: confirmed MAP by independent QA audit (see qa_audit_corrections.md); Full-text screening: RCT of decision-support tool personalizing antidepressant treatment for MDD; patients receive pharmacotherapy; Canadian PI Mulsant BH (CAMH/U of T); QA confirmed MAP
3,26482056,10.1016/j.jamda.2015.08.019,A Randomized Placebo-Controlled Discontinuation Study of Cholinesterase Inhibitors in Institutionalized Patients With Moderate to Severe Alzheimer Disease.,Herrmann N.; O'Regan J.; Ruthirakuhan M.; Kiss A.; Eryavec G.; Williams E.; Lanctôt K.L.,Journal of the American Medical Directors Association,2016,"Objectives: Cholinesterase inhibitors (ChEIs) offer modest benefits in Alzheimer disease (AD), which must be balanced against risks. Relatively few data delineate the benefits and risks of long-term ChEI administration in institutionalized patients with advanced AD. This study investigated the effects of ChEI discontinuation in institutionalized patients with AD. Design: Institutionalized patients with moderate to severe AD (standardized Mini- Mental Status Examination ≤15) and treated with a Ch",MAP,dementia; RCT of ChEI discontinuation in institutionalized AD patients; Canadian PIs (Herrmann/Lanctot at Sunnybrook Toronto); published 2016; main trial results,MAP,"dementia; RCT of ChEI discontinuation in AD. Herrmann N, Lanctot KL - Sunnybrook Toronto. Canadian. Published 2016. Meets all criteria.",INCLUDE,Resolved,Full-text screening: Confirmed: RCT ChEI discontinuation in AD; fully Canadian (Herrmann/Lanctôt Sunnybrook); primary results 2016
4,39415650,10.1017/neu.2024.32,"A double-blind, placebo-controlled, randomised withdrawal study of adjunctive brexpiprazole maintenance treatment for major depressive disorder.",McIntyre Roger S; Sundararajan Kripa; Behl Saloni; Hefting Nanco; Jin Na; Brewer Claudette; Hobart Mary; Thase Michael E,Acta neuropsychiatrica,2024,"Objective: To compare time to relapse in patients with major depressive disorder (MDD) stabilised on antidepressant treatment (ADT) + brexpiprazole who were randomised to continued adjunctive brexpiprazole or brexpiprazole withdrawal (switch to placebo). Methods: This Phase 3, multicentre, double-blind, placebo-controlled, parallel-arm, randomised withdrawal study enrolled adults with MDD and inadequate response to 2-3 ADTs. All patients started on adjunctive brexpiprazole 2-3 mg/day (Phase A, 6",MAP,INCLUDED; Phase 3 randomized withdrawal RCT of adjunctive brexpiprazole for MDD; pharma; Canadian PI (McIntyre - Toronto); MH (MDD diagnosed),MAP,pharma_rct_mh_canadian; Phase 3 RCT; pharma (brexpiprazole adjunctive to ADT); MDD diagnosed; McIntyre is Canadian PI; multicentre; published 2024,INCLUDE,Resolved,QA-audited: confirmed MAP by independent QA audit (see qa_audit_corrections.md); Full-text screening: Confirmed: Phase 3 randomized withdrawal brexpiprazole for MDD; Canadian PI McIntyre (Toronto); QA confirmed
5,30684794,10.1016/j.psychres.2019.01.066,A randomized comparison of long acting methylphenidate and cognitive behavioral therapy in the treatment of binge eating disorder.,Quilty L.C.; Allen T.A.; Davis C.; Knyahnytska Y.; Kaplan A.S.,Psychiatry Research,2019,"Cognitive behavioral therapy (CBT) is a well-established treatment for binge eating disorder (BED); however, this treatment is underutilized, highlighting the need for additional treatment alternatives. Dopamine neurotransmission has been associated with dysregulated eating, and pharmaceutical agents targeting the dopamine system are associated with decreased binge eating and weight. The primary objective of the current investigation was to evaluate the efficacy of psychostimulant medication ver",MAP,eating_disorder; RCT of methylphenidate vs CBT for BED; Canadian PI (Quilty/Kaplan at CAMH Toronto); published 2019; main trial results,MAP,"eating_disorder; RCT of methylphenidate vs CBT for BED. Quilty LC, Kaplan AS - Toronto (CAMH). Canadian. Published 2019. Pharma arm (methylphenidate). Meets all criteria.",INCLUDE,Resolved,Full-text screening: Confirmed: RCT methylphenidate vs CBT for BED; fully Canadian (CAMH Toronto); primary results 2019
6,28013123,10.1016/j.jad.2016.12.006,"A randomized, double-blind, placebo-controlled, crossover trial evaluating the effect of intranasal insulin on cognition and mood in individuals with treatment-resistant major depressive disorder.",Cha D.S.; Best M.W.; Bowie C.R.; Gallaugher L.A.; Woldeyohannes H.O.; Soczynska J.K.; Lewis G.; MacQueen G.; Sahakian B.J.; Kennedy S.H.; Lui J.P.; Mansur R.B.; McIntyre R.S.,Journal of Affective Disorders,2017,Background Cognitive dysfunction in major depressive disorder (MDD) is identified as a primary therapeutic target; no current treatment is approved for the treatment of cognitive dysfunction in MDD. We examined whether intranasal insulin offered a beneficial effect across measures of cognitive function in adults with MDD. Methods Thirty-five adults (18–65 years of age: 47.09±9.89) meeting criteria for a major depressive episode as per the Diagnostic and Statistical Manual (DSM)-IV-Treatment Revi,MAP,depression; RCT (crossover) of intranasal insulin for TRD; Canadian PIs (McIntyre at U Toronto; MacQueen at Calgary; Kennedy at U Toronto); published 2017; main trial results,MAP,"depression; RCT of intranasal insulin for cognition/mood in TRD. McIntyre RS, Kennedy SH - Toronto. Canadian. Published 2017. Meets all criteria.",INCLUDE,Resolved,QA-audited: confirmed MAP by independent QA audit (see qa_audit_corrections.md); Full-text screening: Confirmed: Crossover RCT intranasal insulin for TRD; fully Canadian (Toronto/Calgary); primary results 2017; QA confirmed
7,25999335,10.1192/bjp.bp.114.147587,Agomelatine or placebo as adjunctive therapy to a mood stabiliser in bipolar I depression: randomised double-blind placebo-controlled trial.,"Yatham LN, Vieta E, Goodwin GM, Bourin M, de Bodinat C, Laredo J, Calabrese J, Agomelatine Study Group.",British Journal of Psychiatry,2016,Background Adjunctive antidepressant therapy is commonly used to treat acute bipolar depression but few studies have examined this strategy. Aims To examine the efficacy of agomelatine v. placebo as adjuncts to lithium or valproate in bipolar depression. Method Patients who were currently depressed despite taking lithium or valproate for at least 6 weeks were randomised to treatment with agomelatine (n = 172) or placebo (n = 172) for 8 weeks of acute therapy and 44 weeks of continuation therapy (trial registration: ISRCTN28588282). Results No significant differences in improvement of depressive symptoms were observed between the two groups either at 8 weeks or 52 weeks on the primary efficacy measure of change in Montgomery-Asberg Depression Rating Scale scores from baseline to end-point. Adverse events including switches into mania/hypomania were low and similar in both groups. Conclusions Agomelatine adjunctive therapy was not superior to placebo adjunctive therapy for acute bipolar depression.,MAP,bipolar_mood; RCT of agomelatine adjunctive to mood stabiliser in bipolar I depression; Yatham (UBC) first author; multinational; batch5_reconciled MAP (2/3 majority),MAP,"meets_all_criteria; RCT; bipolar I depression (DSM-5); agomelatine (pharmacotherapy); Canadian PI (Yatham LN, UBC); 2016",INCLUDE,Resolved,QA-audited: confirmed MAP by independent QA audit; Full-text screening: Confirmed: RCT agomelatine adjunctive for bipolar I depression; Canadian PI Yatham (UBC); QA confirmed
8,23773886,10.3371/csrp.mach.061213,"An exploratory, open-label, randomized Tria comparing Risperidone long-Acting Injectabl with oral antipsychotic medication in the treatment of early psychosis",Malla A.; Chue P.; Jordan G.; Stip E.; Koczerginski D.; Milliken H.; Joseph A.; Williams R.; Adams B.; Manchanda R.; Oyewumi K.; Roy M.A.,Clinical Schizophrenia and Related Psychoses,2016,Few studies have examined effectiveness and tolerability of risperidone long-Acting injections (RLAI) in the early phase of a schizophrenia spectrum (SS) disorder using a randomized controlled trial (RCT) design. Eighty-five patients in early phase of an SS disorder were randomized to receive either oral second-generation antipsychotics (SGAs; n=41) or RLAI (n=44) over two years. Analyses were conducted on eligible participants (n=77) for the stabilization (maximum 18 weeks) and maintenance phas,MAP,schizophrenia; RCT; schizophrenia spectrum (DSM-5); pharma (risperidone LAI vs oral SGA); Canadian PIs (Malla Chue Roy); 2016; main results,MAP,"Pharmacological; Schizophrenia; RCT (randomized); schizophrenia spectrum (DSM); risperidone LAI vs oral SGAs (pharma); Canadian (Malla, Chue, Stip - Canadian PIs); 2016; English. Meets all criteria.",INCLUDE,Resolved,QA-audited: confirmed MAP by independent QA audit (see qa_audit_corrections.md); Full-text screening: Confirmed: RCT risperidone LAI vs oral SGA early psychosis; fully Canadian (Malla/Chue/Roy); QA confirmed
9,27895238,10.1177/0022219416678409,Combined Modality Intervention for ADHD With Comorbid Reading Disorders: A Proof of Concept Study.,Tannock R.; Frijters J.C.; Martinussen R.; White E.J.; Ickowicz A.; Benson N.J.; Lovett M.W.,Journal of Learning Disabilities,2018,"To evaluate the relative efficacy of two reading programs with and without adjunctive stimulant medication for children with attention-deficit/hyperactivity disorder and comorbid reading disorder (ADHD+RD). Sixty-five children (7-11 years in age) were assigned randomly to one of three intensive remedial academic programs (phonologically or strategy-based reading instruction, or general academic strategy and social skills training) in combination with either immediate-release methylphenidate or p",MAP,adhd; RCT; ADHD+RD (DSM-5); pharma (methylphenidate vs placebo as adjunct); Canadian PI (Tannock Toronto); 2018; main results,MAP,"Canadian Pharma MH RCT; RCT; ADHD+reading disorder (DSM); methylphenidate vs placebo (pharma); Canadian (Tannock, Ickowicz - SickKids/Toronto); 2018; English. Meets all criteria.",INCLUDE,Resolved,QA-audited: confirmed MAP by independent QA audit (see qa_audit_corrections.md); Full-text screening: Confirmed: RCT methylphenidate for ADHD+RD; fully Canadian (Tannock SickKids); QA confirmed
10,37530824,10.1056/nejmoa2300184,Duration of Adjunctive Antidepressant Maintenance in Bipolar I Depression.,Yatham Lakshmi N; Arumugham Shyam Sundar; Kesavan Muralidharan; Ramachandran Kanchana; Murthy Nithyananda S; Saraf Gayatri; Ouyang Yongdong; Bond David J; Schaffer Ayal; Ravindran Arun; Ravindran Nisha; Frey Benicio N; Daigneault Andrée; Beaulieu Serge; Lam Raymond W; Kondapuram Nithin; Reddy M S; Bhandary R P; Ashok Mysore V; Ha Kyooseob; Ahn Yong Min; Milev Roumen; Wong Hubert; Reddy Y C Janardhan,The New England journal of medicine,2023,"BACKGROUND: Antidepressants are used to treat acute depression in patients with bipolar I disorder, but their effect as maintenance treatment after the remission of depression has not been well studied. METHODS: We conducted a multisite, double-blind, randomized, placebo-controlled trial of maintenance of treatment with adjunctive escitalopram or bupropion XL as compared with discontinuation of antidepressant therapy in patients with bipolar I disorder who had recently had remission of a depress",MAP,bipolar_mood; RCT; bipolar I (DSM-5); pharma (escitalopram/bupropion XL); Canadian-led multisite trial; main results 2023,MAP,bipolar_mood; RCT of maintenance adjunctive antidepressant (escitalopram/bupropion) vs placebo in bipolar I depression; Canadian-led multisite trial (Yatham lead author UBC); NEJM 2023; pharma for MH,INCLUDE,Resolved,QA-audited: confirmed MAP by independent QA audit (see qa_audit_corrections.md); Full-text screening: Confirmed: RCT antidepressant maintenance bipolar I; Canadian PI Yatham (UBC); QA confirmed
