id,title,final_decision,category,vote_count,conflict_flag,reconciliation_notes
10.1016/j.cedpsych.2020.101847,Breaking the vicious cycle of language anxiety: Growth language mindsets improve lower-competence ESL students' intercultural interactions,OUT_OF_SCOPE,other_mental_health,3/3,N,"Votes: E1=OUT_OF_SCOPE, E2=OUT_OF_SCOPE, E3=OUT_OF_SCOPE | Unanimous agreement"
10.1016/j.commatsci.2016.02.021,Application of machine learning methods for the prediction of crystal system of cathode materials in lithium-ion batteries,OUT_OF_SCOPE,other_mental_health,3/3,N,"Votes: E1=OUT_OF_SCOPE, E2=OUT_OF_SCOPE, E3=OUT_OF_SCOPE | Unanimous agreement"
10.1016/j.system.2021.102604,Reducing anxiety in the foreign language classroom: A positive psychology approach,OUT_OF_SCOPE,other_mental_health,3/3,N,"Votes: E1=OUT_OF_SCOPE, E2=OUT_OF_SCOPE, E3=OUT_OF_SCOPE | Unanimous agreement"
10.1016/j.trci.2016.09.002,Multiple comorbid neuropathologies in the setting of Alzheimer's disease neuropathology and implications for drug development,OUT_OF_SCOPE,dementia,3/3,N,"Votes: E1=OUT_OF_SCOPE, E2=OUT_OF_SCOPE, E3=OUT_OF_SCOPE | Unanimous agreement"
10.1016/j.trci.2018.04.003,Digital technologies as biomarkers clinical outcomes assessment and recruitment tools in Alzheimer's disease clinical trials,OUT_OF_SCOPE,dementia,3/3,N,"Votes: E1=OUT_OF_SCOPE, E2=OUT_OF_SCOPE, E3=OUT_OF_SCOPE | Unanimous agreement"
10.1080/0163853x.2015.1136507,Identity and Epistemic Emotions During Knowledge Revision: A Potential Account for the Backfire Effect,OUT_OF_SCOPE,other_mental_health,3/3,N,"Votes: E1=OUT_OF_SCOPE, E2=OUT_OF_SCOPE, E3=OUT_OF_SCOPE | Unanimous agreement"
10.1177/2045125320916657,Ketamine as an antidepressant: overview of its mechanisms of action and potential predictive biomarkers,OUT_OF_SCOPE,depression,3/3,N,"Votes: E1=OUT_OF_SCOPE, E2=OUT_OF_SCOPE, E3=OUT_OF_SCOPE | Unanimous agreement"
10.1177/2333392816647892,Review of Diagnosis-Related Group-Based Financing of Hospital Care,OUT_OF_SCOPE,other_mental_health,3/3,N,"Votes: E1=OUT_OF_SCOPE, E2=OUT_OF_SCOPE, E3=OUT_OF_SCOPE | Unanimous agreement"
10.1212/nxg.0000000000000512,Late-onset vs nonmendelian early-onset Alzheimer disease: A distinction without a difference?,OUT_OF_SCOPE,dementia,3/3,N,"Votes: E1=OUT_OF_SCOPE, E2=OUT_OF_SCOPE, E3=OUT_OF_SCOPE | Unanimous agreement"
10.3389/fcvm.2020.00005,Hypertension and the Risk of Dementia,OUT_OF_SCOPE,dementia,3/3,N,"Votes: E1=OUT_OF_SCOPE, E2=OUT_OF_SCOPE, E3=OUT_OF_SCOPE | Unanimous agreement"
10.3389/fnagi.2018.00224,Can an Infection Hypothesis Explain the Beta Amyloid Hypothesis of Alzheimer's Disease?,OUT_OF_SCOPE,dementia,3/3,N,"Votes: E1=OUT_OF_SCOPE, E2=OUT_OF_SCOPE, E3=OUT_OF_SCOPE | Unanimous agreement"
10.3389/fnagi.2018.00369,Speech analysis by natural language processing techniques: A possible tool for very early detection of cognitive decline?,OUT_OF_SCOPE,dementia,3/3,N,"Votes: E1=OUT_OF_SCOPE, E2=OUT_OF_SCOPE, E3=OUT_OF_SCOPE | Unanimous agreement"
10.3389/fneur.2021.721126,The Relationship Between the Gut Microbiome-Immune System-Brain Axis and Major Depressive Disorder,OUT_OF_SCOPE,depression,3/3,N,"Votes: E1=OUT_OF_SCOPE, E2=OUT_OF_SCOPE, E3=OUT_OF_SCOPE | Unanimous agreement"
