id,title,final_decision,category,vote_count,conflict_flag,reconciliation_notes
10.1002/acn3.559,"Poly(GP), neurofilament and grey matter deficits in C9orf72 expansion carriers",OUT_OF_SCOPE,observational,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
10.1016/j.jadr.2021.100098,Ayahuasca use and reported effects on depression and anxiety symptoms,OUT_OF_SCOPE,observational,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
10.1016/j.mhpa.2017.12.005,Improving children's physical self-perception through a school-based physical activity intervention,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
10.1186/s42238-020-00038-w,Medical cannabis use in the United States: A retrospective database study,OUT_OF_SCOPE,observational,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
10.28945/4670,"Phd imposter syndrome: Exploring antecedents, consequences, and implications for doctoral well-being",OUT_OF_SCOPE,observational,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
10.3389/fpsyt.2018.00091,Medications used for cognitive enhancement,OUT_OF_SCOPE,review,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
26311898,Associations between fruit and vegetable consumption and depressive symptoms,OUT_OF_SCOPE,observational,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
26561733,A randomized controlled trial of guided internet-delivered cognitive behaviour therapy for older adults with generalized anxiety,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
26869246,Divergent Outcomes in Cognitive-Behavioral Therapy and Pharmacotherapy for Adult Depression,OUT_OF_SCOPE,meta_analysis,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
26930535,A pilot randomized clinical trial evaluating the impact of genetic counseling for serious mental illnesses,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
26963689,Predictors and Moderators of Remission With Aripiprazole Augmentation in Treatment-Resistant Late-Life Depression,OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
27016659,A negative double-blind controlled trial of sequential bilateral rTMS in the treatment of bipolar depression,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
27031326,Responsive management of early resistance in cognitive-behavioral therapy for generalized anxiety disorder,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
27253216,Cognitive effects of transcranial direct current stimulation in depression: Results from the SELECT-TDCS trial,OUT_OF_SCOPE,non-Canadian,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
27262641,The inference-based approach to obsessive-compulsive disorder: A comprehensive review,OUT_OF_SCOPE,review,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
27440630,Covert stroke after non-cardiac surgery: a prospective cohort study,OUT_OF_SCOPE,observational,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
27442023,Do current national and international guidelines have specific recommendations for older adults with bipolar disorder?,OUT_OF_SCOPE,review,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
27568388,Employment Status and Mental Health: Mediating Roles of Social Support and Coping Strategies,OUT_OF_SCOPE,observational,OUT_OF_SCOPE|OUT_OF_SCOPE|OUT_OF_SCOPE,N,Unanimous (OUT_OF_SCOPE)
