batch,id,title,original_decision,qa_decision,category,notes
10,27233840,Flexible dual-form nicotine replacement therapy or varenicline in comparison with nicotine patch for smoking cessation: a randomized controlled trial,MAP,EXCLUDE,substance_use,Smoking cessation in general smokers - tobacco use disorder is not a DSM-5 diagnosed mental health condition targeted here; NRT/varenicline targets nicotine dependence not a primary MH disorder
10,29700801,Ketamine-based anesthesia improves electroconvulsive therapy outcomes: a randomized-controlled study,MAP,INCLUDE,depression,RCT of ketamine vs propofol anesthesia for ECT in treatment-resistant MDD; Canadian site (Saskatchewan); pharma targeting MH; results 2018
10,31547752,Agitation Oxidative Stress and Cytokines in Alzheimer Disease: Biomarker Analyses From a Clinical Trial With Nabilone for Agitation,MAP,EXCLUDE,dementia,Secondary biomarker analysis from nabilone trial in AD agitation - not main results paper; secondary analysis excluded
10,35310527,Use of medium chain triglyceride (MCT) oil in subjects with Alzheimer disease,MAP,EXCLUDE,dementia,MCT oil is a nutritional supplement not a pharmacological intervention; N=20 very small but above threshold; however non-pharma excludes
10,35637185,Correction: Clinical utility of combinatorial pharmacogenomic testing in depression,MAP,EXCLUDE,depression,This is a correction/erratum to a previously published paper - not a primary results publication
10,37936330,Vortioxetine for the treatment of post-COVID-19 condition: a randomized controlled trial,MAP,EXCLUDE,other,Post-COVID-19 condition is not a DSM-5 diagnosed mental health disorder; cognitive deficits and mood symptoms secondary to PCC not primary MH diagnosis
10,38454079,Comparative effectiveness research trial for antidepressant incomplete and non-responders with treatment resistant depression (ASCERTAIN-TRD),MAP,EXCLUDE,depression,Multi-site US trial; no Canadian site or PI identified from author list; aripiprazole augmentation vs rTMS vs venlafaxine switch - includes non-pharma arm; no clear Canadian involvement
10,rank_1488,Evaluation of the effectiveness and safety of olanzapine as an adjunctive treatment for anorexia nervosa in adolescents: An open-label trial,MAP,EXCLUDE,eating_disorder,Non-randomized open-label trial - not an RCT; observational design excluded
11,26967214,Efficacy and Safety of ABT-126 in Subjects with Mild-to-Moderate Alzheimer Disease,MAP,INCLUDE,dementia,RCT of ABT-126 (alpha7 nAChR agonist) in mild-moderate AD; multicenter including Canadian site (Gauthier is Canadian PI); pharma for MH; results 2016
11,27208498,Brexpiprazole as adjunctive treatment of major depressive disorder with anxious distress,MAP,EXCLUDE,depression,Post-hoc analysis of two phase 3 RCTs - secondary/post-hoc analysis excluded; not primary results
11,27318221,Effects of armodafinil and CBT-I on sleep continuity and daytime sleepiness in cancer survivors,MAP,EXCLUDE,other,Cancer survivors with insomnia - insomnia secondary to cancer not primary DSM-5 MH diagnosis; also secondary outcome analysis of trial
11,27665002,Housing First Improves Adherence to Antipsychotic Medication Among Formerly Homeless Adults With Schizophrenia,MAP,EXCLUDE,schizophrenia,Housing First intervention - not a pharmacological intervention; measures adherence to antipsychotics but intervention is housing
11,27742581,Oxidative stress predicts depressive symptom changes with omega-3 fatty acid treatment in coronary artery disease patients,MAP,EXCLUDE,depression,Secondary analysis of CAROTID trial; depressive symptoms in CAD patients - not primary MH diagnosis; secondary analysis excluded
11,28044255,Mavoglurant Augmentation in OCD Patients Resistant to SSRIs,MAP,INCLUDE,anxiety_trauma_ocd,RCT of mavoglurant augmentation for treatment-resistant OCD (DSM-IV-TR); multicenter pharma trial; phase 2; need to verify Canadian site but multicenter international trial
11,28105576,Effects of CBT-I and armodafinil on quality of life in cancer survivors,MAP,EXCLUDE,other,Secondary outcome analysis of same cancer survivor insomnia trial as 27318221; not primary MH; secondary analysis
11,28343051,Tolerability of cariprazine in the treatment of acute bipolar I mania,MAP,EXCLUDE,bipolar_mood,Post-hoc pooled analysis of 3 phase II/III studies - secondary/pooled analysis excluded
11,29627621,The OPTIMA study buprenorphine/naloxone and methadone models of care for prescription opioid use disorder,MAP,EXCLUDE,substance_use,Study protocol/design paper - no main results reported; protocol without results excluded
11,30498564,A pilot dose finding study of pioglitazone in autistic children,MAP,EXCLUDE,other_mental_health,Single-arm dose-finding study with placebo run-in but no randomized comparison group - not a proper RCT design
11,30522875,Effects of suvorexant on the Insomnia Severity Index in patients with insomnia,MAP,EXCLUDE,other_mental_health,Pooled analysis of two phase 3 trials - secondary/pooled analysis; also no Canadian involvement evident
11,30913472,A patient decision aid for antidepressant use in pregnancy: Pilot RCT,MAP,EXCLUDE,depression,RCT of a patient decision aid (educational intervention) not a pharmacological intervention; non-pharma excluded
11,31098654,An increase in plasma BDNF levels is related to n-3 PUFA efficacy in first episode schizophrenia: secondary outcome analysis of the OFFER trial,MAP,EXCLUDE,schizophrenia,Secondary outcome analysis of OFFER trial - secondary analysis excluded; also conducted in Poland not Canada
11,32221178,Change in Defense Mechanisms and Depression in a Pilot Study of Antidepressive Medications Plus Psychotherapy,MAP,EXCLUDE,depression,Pilot study N=12; well below minimum threshold; also focus is on defense mechanisms (psychological measure) not primary drug efficacy
11,33641259,Pharmacogenomics guided versus standard antidepressant treatment in a community pharmacy setting,MAP,INCLUDE,depression,RCT of pharmacogenomics-guided vs standard antidepressant treatment for MDD/GAD; Canadian community pharmacies; N=213; pharma for MH; results 2021
11,33854039,Metformin for early comorbid glucose dysregulation and schizophrenia spectrum disorders,MAP,EXCLUDE,schizophrenia,Metformin targets metabolic comorbidity (glucose dysregulation) not mental health symptoms directly; primary outcomes are metabolic (HbA1c fasting glucose insulin resistance) not psychiatric
11,34153630,Neurocognitive aspects of ketamine and esketamine on subjects with treatment-resistant depression,MAP,EXCLUDE,depression,Conducted in Brazil (Brazilian authors and journal); no Canadian site or PI; non-Canadian excluded
11,35771573,Association of Molecular Senescence Markers in Late-Life Depression With Clinical Characteristics and Treatment Outcome,MAP,EXCLUDE,depression,Non-randomized open-label clinical trial; also secondary biomarker analysis; not an RCT
11,37530824,Duration of Adjunctive Antidepressant Maintenance in Bipolar I Depression,MAP,INCLUDE,bipolar_mood,RCT of maintenance adjunctive antidepressant (escitalopram/bupropion) vs placebo in bipolar I depression; Canadian-led multisite trial (Yatham lead author UBC); NEJM 2023; pharma for MH
