"id","title","decision","category","confidence","notes"
"38252995","Induced emotion counter-regulation affects attentional inhibition of emotional information: ERP evidence from a randomized manipulation approach.","OUT_OF_SCOPE","non_pharmacological","high","ERP study of emotion regulation using randomized manipulation; not pharmacological; not MH disorder treatment; no Canadian site indicated"
"38237555","Brain Glutamate Dynamics Predict Positive Agency in Healthy Women: Insights from Combined Application of Pharmacological Challenge, Comprehensive Affective Assessment, and Magnetic Resonance Spectroscopy.","OUT_OF_SCOPE","no_mh_disorder","high","Pharmacological challenge study (d-amphetamine, methamphetamine) in healthy women; no diagnosed mental disorder; exploratory neuroscience"
"38235044","Alprazolam Reduces Freezing of Gait (FOG) and Improves FOG-Related Gait Deficiencies.","OUT_OF_SCOPE","non_canadian","high","Pharmacological RCT (alprazolam) for Parkinson's gait freezing; primary outcome is motor (not MH); no Canadian site indicated"
"38233080","A randomized controlled trial of repetitive transcranial magnetic stimulation plus donepezil vs donepezil alone for mild to moderate cognitive impairment due to small vessel cerebrovascular disease.","OUT_OF_SCOPE","non_canadian","high","RCT of rTMS + donepezil for vascular cognitive impairment; primary intervention is neuromodulation; no Canadian site; not a diagnosed mental disorder per DSM/ICD"
"38199634","Impact of a peer-support programme to improve loneliness and social isolation due to COVID-19: does adding a secure, user friendly video-conference solution work better than telephone support alone? Protocol for a three-arm randomised clinical trial.","OUT_OF_SCOPE","non_pharmacological","high","Protocol for peer-support RCT for loneliness; non-pharmacological; Canadian but no drug intervention; no diagnosed MH disorder"
"38125282","Comparing the efficacy of electronic cognitive behavioral therapy to medication and combination therapy for generalized anxiety disorder: a quasi-experimental clinical trial.","OUT_OF_SCOPE","not_rct","high","Quasi-experimental design (patients self-selected treatment); not a randomized controlled trial; GAD with pharmacotherapy arm but design fails RCT criterion"
"38109196","Evaluation of a Cannabis Harm Reduction Intervention for People With First-Episode Psychosis: Protocol for a Pilot Multicentric Randomized Trial.","OUT_OF_SCOPE","non_pharmacological","high","Protocol for cannabis harm reduction behavioral intervention in FEP; Canadian; non-pharmacological intervention; protocol without results"
"38078565","Mothers' and birthing parents' experiences with 1-day cognitive behavioural therapy-based workshops for postpartum depression: A descriptive qualitative study.","OUT_OF_SCOPE","non_pharmacological","high","Qualitative study of CBT workshops for PPD; non-pharmacological; not an RCT"
"37976121","Development, Feasibility, and Preliminary Effects of a Hybrid-Mode Multicomponent Music Intervention for Women Undergoing Mastectomy.","OUT_OF_SCOPE","non_pharmacological","high","Music intervention for preoperative anxiety in breast cancer; non-pharmacological; African setting; not a diagnosed MH disorder"
"37950301","Dietary counselling plus omega-3 supplementation in the treatment of generalized anxiety disorder: protocol for a randomized wait-list controlled pilot trial (the EASe-GAD Trial).","OUT_OF_SCOPE","protocol_no_results","high","Protocol for omega-3 + dietary counselling RCT for GAD; Canadian; but protocol without results; also omega-3 may not qualify as pharmacological MH intervention"
"37917311","Brain metabolite levels in remitted psychotic depression with consideration of effects of antipsychotic medication.","UNCERTAIN","potential_map","medium","RCT substudy: patients with remitted psychotic depression randomized to sertraline+olanzapine vs sertraline+placebo; pharmacological; MH disorder (psychotic depression); STOP-PD II is multi-site US/Canada trial; but this is an MRS neuroimaging substudy examining brain metabolites rather than clinical MH outcomes"
"37878641","Socioeconomic inequalities, psychosocial stressors at work and physician-diagnosed depression: Time-to-event mediation analysis in the presence of time-varying confounders.","OUT_OF_SCOPE","observational","high","Prospective cohort study (observational) of Quebec white-collar workers; not an RCT; no intervention"
"37851501","Real-World User Demographics of Three Web-Based Digital Mental Health Interventions Provided by the US Department of Veterans Affairs: Observational Study Using Web Analytics Data.","OUT_OF_SCOPE","observational","high","Observational study of digital MH intervention demographics; US VA; no RCT; no pharmacological intervention"
"37848299","A Parent-child yoga intervention for reducing attention deficits in children with congenital heart disease: the Yoga for Little Hearts Feasibility Study Protocol.","OUT_OF_SCOPE","non_pharmacological","high","Protocol for yoga RCT for attention deficits in CHD children; Canadian; non-pharmacological; protocol without results"
"37840500","Landscape of Phase II Trials in Alzheimer's Disease.","OUT_OF_SCOPE","review","high","Review/landscape analysis of Phase II AD trials; not an RCT itself"
"37759910","The Effect of Continuous Theta Burst Stimulation over the Right Dorsolateral Prefrontal Cortex on Cognitive Function and Emotional Regulation in Patients with Cerebral Small Vessel Disease.","OUT_OF_SCOPE","non_pharmacological","high","Brain stimulation (cTBS) RCT for cognitive function in CSVD; non-pharmacological; no Canadian site; not a primary MH disorder"
"37698915","An eHealth Program for Insomnia in Children With Neurodevelopmental Disorders (Better Nights, Better Days): Protocol for an Economic Evaluation of a Randomized Controlled Trial.","OUT_OF_SCOPE","non_pharmacological","high","Protocol for economic evaluation of behavioral eHealth insomnia program; Canadian; non-pharmacological; protocol without results"
"37626364","Multivariable prediction models for the recovery of and claim closure related to post-collision neck pain and associated disorders.","OUT_OF_SCOPE","non_mh_disorder","high","Prediction model study for neck pain recovery; Canadian; not an RCT intervention; not a mental disorder"
"37565489","Comparison between cytisine and Nicotine Replacement Therapy in smoking cessation among inpatient psychiatric patients.","OUT_OF_SCOPE","non_canadian","high","Open-label RCT of cytisine vs NRT for smoking cessation in psychiatric inpatients; pharmacological; MH population; but no Canadian site indicated (appears non-Canadian)"
"37547219","A randomized 3-month, parallel-group, controlled trial of CALMA m-health app as an adjunct to therapy to reduce suicidal and non-suicidal self-injurious behaviors in adolescents: study protocol.","OUT_OF_SCOPE","non_pharmacological","high","Protocol for m-health app RCT for self-harm in adolescents; Spanish-language app; non-pharmacological; non-Canadian; protocol without results"
"37452224","Correlation of frailty assessment metrics in one-year follow-up of aged care residents: a sub-study of a randomised controlled trial.","OUT_OF_SCOPE","non_mh_disorder","high","Sub-study of frailty metrics in aged care residents; not MH disorder; not pharmacological; not Canadian"
"37363177","Predictors of prospective suicide attempts in a group at risk of personality disorder following self-poisoning.","OUT_OF_SCOPE","observational","high","Prospective observational analysis of suicide attempt predictors; not an RCT; not pharmacological"
"37351010","Effectiveness and Safety of Bu Shen Kai Qiao Fang in the Treatment of Alzheimer's Disease: Study Protocol for a Multicenter, Prospective, Real-World Clinical Trial.","OUT_OF_SCOPE","non_canadian","high","Protocol for TCM intervention in AD; China-based; protocol without results; not Canadian"
"37328751","Culturally adapted psychosocial interventions (CaPSI) for early psychosis in a low-resource setting: study protocol for a large multi-center RCT.","OUT_OF_SCOPE","non_pharmacological","high","Protocol for psychosocial intervention RCT in early psychosis; Pakistan-based; non-pharmacological; protocol without results"
"37270514","The clinical evaluation of Basti along with Rasayana on symptoms of post-COVID-19 syndrome: an open-labeled proof of concept pragmatic study-a study protocol.","OUT_OF_SCOPE","non_canadian","high","Protocol for Ayurvedic treatment of post-COVID symptoms; India-based; not MH disorder; protocol without results"
"37157055","How does a family history of psychosis influence the risk of methamphetamine-related psychotic symptoms: Evidence from longitudinal panel data.","OUT_OF_SCOPE","secondary_analysis","high","Secondary analysis of Australian RCT data on methamphetamine-related psychotic symptoms; not Canadian; secondary analysis"
"36458119","Effect of online aerobic exercise training in patients with bipolar depression: Protocol of a randomized clinical trial.","OUT_OF_SCOPE","non_pharmacological","high","Protocol for exercise RCT in bipolar depression; non-pharmacological; non-Canadian; protocol without results"
"35761266","French adaptation and validation of the Panic Disorder Severity Scale-self-report.","OUT_OF_SCOPE","non_rct","high","Psychometric validation study of panic disorder scale; French-Canadian; not an RCT; no pharmacological intervention"
"36737725","Protocol for the Open Sky School: a two-arm clustered randomized controlled trial to test the effectiveness of a nature-based intervention on mental health of elementary school children.","OUT_OF_SCOPE","non_pharmacological","high","Protocol for nature-based intervention RCT in school children; Quebec Canada; non-pharmacological; not diagnosed MH disorder; protocol without results"
"36109026","Telephone-based cognitive behavioural therapy for patients with postoperative bariatric surgery to manage COVID-19 pandemic-related mental health issues and distress (TELE-BARICARE): a protocol for a randomised controlled trial.","OUT_OF_SCOPE","non_pharmacological","high","Protocol for telephone CBT RCT for post-bariatric MH distress; Canadian; non-pharmacological; protocol without results"
