batch,id,title,original_decision,qa_decision,category,notes
14,23773886,An exploratory open-label randomized trial comparing Risperidone long-Acting Injectable with oral antipsychotic medication in the treatment of early psychosis,MAP,MAP,schizophrenia,RCT; schizophrenia spectrum (DSM-5); pharma (risperidone LAI vs oral SGA); Canadian PIs (Malla Chue Roy); 2016; main results
14,26221049,Dopamine D2/3 Receptor Occupancy Following Dose Reduction Is Predictable With Minimal Plasma Antipsychotic Concentrations,MAP,OUT,pharmacokinetic_study,Open-label pharmacokinetic/neuroimaging study measuring receptor occupancy after dose reduction; not testing pharmacotherapy for MH; no clinical MH outcomes
14,27280963,The effects of desvenlafaxine on neurocognitive and work functioning in employed outpatients with major depressive disorder,MAP,OUT,open_label,Open-label study (n=36); not an RCT
14,27756854,The Time Course of Effect of Multilayer-Release Methylphenidate Hydrochloride Capsules: A Randomized Double-Blind Study of Adults With ADHD,MAP,OUT,non_canadian,US-based researchers (Wigal Childress); no Canadian site or PI identified
14,28500373,Effects of varenicline versus transdermal nicotine replacement therapy on cigarette demand on quit day in individuals with substance use disorders,MAP,OUT,non_canadian,US-based study (Brown University); MacKillop co-author likely at US institution during study; no Canadian site
14,32670103,The THINC-it Tool for Cognitive Assessment and Measurement in Major Depressive Disorder: Sensitivity to Change,MAP,OUT,open_label,Open-label vortioxetine study; not an RCT despite Canadian PI (McIntyre)
14,35151410,Efficacy and safety of balovaptan for socialisation and communication difficulties in autistic adults in North America and Europe,MAP,MAP,asd,Phase 3 RCT; ASD (DSM-5); pharma (balovaptan); Canadian site and PI (Anagnostou Toronto); 2022; main results
14,37227402,Head-To-Head Comparison of Vortioxetine Versus Desvenlafaxine in Patients With Major Depressive Disorder With Partial Response to SSRI Therapy: Results of the VIVRE Study,MAP,MAP,depression,RCT double-blind; MDD (DSM-5); pharma (vortioxetine vs desvenlafaxine); Canadian PI (McIntyre Toronto); 2023; main results
15,27895238,Combined Modality Intervention for ADHD With Comorbid Reading Disorders: A Proof of Concept Study,MAP,MAP,adhd,RCT; ADHD+RD (DSM-5); pharma (methylphenidate vs placebo as adjunct); Canadian PI (Tannock Toronto); 2018; main results
15,31338476,Investigating the safety and efficacy of nabilone for the treatment of agitation in patients with moderate-to-severe Alzheimer's disease,MAP,OUT,protocol,Study protocol only; no main results reported
